spec_id,equipment_id,type_id,type_name,option_id,option_name,unit_id,unit_name,raw_specs,literal_value,literal_unit,literal_category,literal_type
24326397-de3f-482a-abf9-8ffa9f9329fe,8e7ab5c9-0e43-4305-9951-3bd0518d93b1,e20b16cd-69dd-4b9f-af9a-64e3d801b205,Supply or Return,5bb59d7e-8883-4d05-bc90-92a22a857b51,Supply,,,"{"kind":"flat","type":"Service","unit":null,"value":"SUPPLY AIR","category":null}",SUPPLY AIR,,,Service
0e3ca04c-be19-4b34-941c-04131f146064,8e7ab5c9-0e43-4305-9951-3bd0518d93b1,523740af-9ca7-455c-ab51-4ad1918ab54a,Material,,,,,"{"kind":"flat","type":"Construction Material","unit":null,"value":"STEEL","category":null}",STEEL,,,Construction Material
e8920790-c706-4064-be1f-7ca432d2aace,8e7ab5c9-0e43-4305-9951-3bd0518d93b1,,,,,,,"{"kind":"flat","type":"Finish Color","unit":null,"value":"BY ARCH.","category":null}",BY ARCH.,,,Finish Color
61a83dd1-5606-499d-90d3-e9f7da4da9f7,8e7ab5c9-0e43-4305-9951-3bd0518d93b1,bc663106-1c5c-4cc9-9f68-3a51eb3d4c5b,Manufacturer,74df1e98-d237-4dac-a7c1-024d504d41ab,Titus,,,"{"kind":"flat","type":"Manufacturer","unit":null,"value":"TITUS","category":null}",TITUS,,,Manufacturer
14c0f5e1-7d0b-4b41-a8ef-a2cd49c5dc13,8e7ab5c9-0e43-4305-9951-3bd0518d93b1,,,,,,,"{"kind":"flat","type":"Model Number","unit":null,"value":"TMR","category":null}",TMR,,,Model Number
bae8ab4f-43bf-4338-ace1-6c14b0927d24,8e7ab5c9-0e43-4305-9951-3bd0518d93b1,,,,,,,"{"kind":"flat","type":"Description","unit":null,"value":"SURFACE MOUNTED ROUND 2-DISCHARGE CEILING DIFFUSER.","category":null}",SURFACE MOUNTED ROUND 2-DISCHARGE CEILING DIFFUSER.,,,Description
de03e34d-0fc3-46a0-b1c7-7a6367118260,e8c5392d-2b77-4142-ad01-268fbf1d01f3,,,,,,,"{"kind":"flat","type":"Face Size","unit":null,"value":"24\"X24\"","category":null}",24"X24",,,Face Size
de48e97e-5217-42b5-9f5e-e4593d5fb29a,e8c5392d-2b77-4142-ad01-268fbf1d01f3,,,,,,,"{"kind":"flat","type":"Face Size","unit":null,"value":"12\"X12\"","category":null}",12"X12",,,Face Size
904e6b97-759f-4ea1-8b9a-0795f5933071,e8c5392d-2b77-4142-ad01-268fbf1d01f3,,,,,,,"{"kind":"flat","type":"Damper","unit":null,"value":"AT TAP","category":null}",AT TAP,,,Damper
235649b0-1573-42f3-a09b-67c64afbb7e3,e8c5392d-2b77-4142-ad01-268fbf1d01f3,,,,,,,"{"kind":"flat","type":"Finish Color","unit":null,"value":"BY ARCH.","category":null}",BY ARCH.,,,Finish Color
